District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total
JHUNJHUNU,2020,0,0,0,6,46,32,18,0,102
SIKAR,2020,0,0,13,29,49,31,7,0,129
DAUSA,2020,0,3,6,7,65,24,9,0,114
ALWAR,2020,0,5,8,32,66,54,51,0,216
BHIWADI,2020,1,0,13,37,81,36,28,0,196
BIKANER,2020,0,0,16,34,43,58,15,0,166
CHURU,2020,0,0,7,19,86,53,1,0,166
SRI GANGANAGAR,2020,0,5,11,22,104,58,0,0,200
HANUMANGARH,2020,4,3,30,16,60,57,2,0,172
BHARATPUR,2020,1,2,17,27,151,58,4,0,260
SAWAIMADHOPUR,2020,0,3,9,16,34,46,5,0,113
DHOLPUR,2020,0,0,3,24,32,28,9,0,96
KARAULI,2020,0,4,23,2,56,29,2,0,116
JODHPUR CITY EAST,2020,0,1,5,6,23,19,0,0,54
JODHPUR CITY WEST,2020,0,4,9,11,18,10,1,0,54
JODHPUR RURAL,2020,0,1,11,24,64,8,1,0,109
JALORE,2020,0,0,2,1,17,52,6,0,78
JAISALMER,2020,0,0,1,5,18,3,0,0,27
BARMER,2020,0,0,5,49,164,9,0,0,227
PALI,2020,0,0,0,22,85,30,0,0,137
SIROHI,2020,0,0,7,23,47,19,0,0,96
KOTA CITY,2020,1,0,13,11,63,41,2,0,133
KOTA RURAL,2020,0,0,3,21,26,22,4,0,76
BUNDI,2020,0,0,2,11,78,12,0,0,103
JHALAWAR,2020,2,1,28,17,60,40,10,0,158
BARAN,2020,2,4,12,20,64,20,0,0,122
UDAIPUR,2020,0,2,13,53,119,40,1,0,228
BANSWARA,2020,1,0,2,21,51,18,0,0,93
CHITTORGARH,2020,0,0,7,18,59,24,16,0,124
DUNGARPUR,2020,0,3,11,22,47,14,0,0,97
RAJSAMAND,2020,0,0,0,19,49,5,0,0,73
PRATAPGARH,2020,0,1,2,30,77,22,1,0,133
GRP AJMER,2020,0,0,0,0,2,0,0,0,2
GRP JODHPUR,2020,1,0,0,0,0,0,0,0,1
JAIPUR METRO,2020,0,0,0,0,0,0,0,0,0
SOG,2020,0,0,0,0,0,0,0,0,0
SSB,2020,0,0,0,0,0,0,0,0,0
CCPS,2020,0,0,0,0,0,0,0,0,0
JAIPUR CRIME,2020,0,0,0,0,0,0,0,0,0
AJMER,2021,1,2,14,35,141,36,1,0,230
BHILWARA,2021,0,0,8,18,154,45,4,0,230
NAGAUR,2021,0,0,12,38,97,32,4,0,183
TONK,2021,0,0,3,24,56,5,2,0,90
JAIPUR CITY (N),2021,0,2,8,8,46,19,4,0,87
JAIPUR CITY (S),2021,2,3,5,13,66,35,2,0,128
JAIPUR CITY (E),2021,1,0,11,14,77,22,0,0,125
