District,Year,Below_6_years,6_12_years,12_16_years,16_18_years,18_30_years,30_45_years,45_60_years,60_plus_years,Total_Cases,year_total,female_total
SAWAIMADHOPUR,2020,0,3,9,16,34,46,5,0,113,1486911,703091
DHOLPUR,2020,0,0,3,24,32,28,9,0,96,1343253,615527
KARAULI,2020,0,4,23,2,56,29,2,0,116,1623514,751064
JODHPUR,2020,1,6,25,41,105,37,2,0,217,4105038,1963068
JALORE,2020,0,0,2,1,17,52,6,0,78,2035983,993199
JAISALMER,2020,0,0,1,5,18,3,0,0,27,745842,343141
BARMER,2020,0,0,5,49,164,9,0,0,227,2898839,1374663
PALI,2020,0,0,0,22,85,30,0,0,137,2268495,1126860
SIROHI,2020,0,0,7,23,47,19,0,0,96,1153797,559021
KOTA ,2020,1,0,16,32,89,63,6,0,209,2172126,1035235
BUNDI,2020,0,0,2,11,78,12,0,0,103,1236807,594236
JHALAWAR,2020,2,1,28,17,60,40,10,0,158,1571055,763730
BARAN,2020,2,4,12,20,64,20,0,0,122,1361332,655541
UDAIPUR,2020,0,2,13,53,119,40,1,0,228,3416170,1671800
BANSWARA,2020,1,0,2,21,51,18,0,0,93,2001197,990566
CHITTORGARH,2020,0,0,7,18,59,24,16,0,124,1719361,847431
DUNGARPUR,2020,0,3,11,22,47,14,0,0,97,1545919,770448
RAJSAMAND,2020,0,0,0,19,49,5,0,0,73,1287676,640453
PRATAPGARH,2020,0,1,2,30,77,22,1,0,133,966203,478848
AJMER,2021,1,2,14,35,142,37,1,0,232,2910303,1418468
BHILWARA,2021,0,0,8,18,154,45,4,0,230,2713663,1338270
NAGAUR,2021,0,0,12,38,97,32,4,0,183,3726807,1815571
TONK,2021,0,0,3,24,56,5,2,0,90,1601396,781011
JAIPUR CITY (N),2021,4,6,40,93,384,124,9,0,660,7465660,3557722
JHUNJHUNU,2021,3,2,7,19,19,9,76,0,135,2407791,1173054
SIKAR,2021,0,0,0,33,106,46,12,0,197,3016529,1467339
DAUSA,2021,1,1,6,9,105,16,3,0,141,1841475,875014
ALWAR,2021,0,2,13,41,132,91,9,0,288,4139667,1954983
BIKANER,2021,0,0,17,35,30,55,40,0,177,2663428,1265428
CHURU,2021,0,0,13,22,88,31,9,0,163,2297941,1113285
SRI GANGANAGAR,2021,0,5,18,23,94,51,2,0,193,2218645,1043123
HANUMANGARH,2021,1,6,15,45,101,30,0,0,198,1999531,950374
BHARATPUR,2021,1,5,12,19,196,67,3,0,303,2871331,1343846
SAWAIMADHOPUR,2021,1,3,10,17,46,29,11,0,117,1504754,711528
DHOLPUR,2021,1,2,15,10,39,26,10,0,103,1359372,622913
KARAULI,2021,0,2,6,22,78,22,8,0,138,1642996,760076
JODHPUR,2021,1,2,20,60,136,54,3,0,276,4154298,1986625
JALORE,2021,0,0,15,0,10,46,22,0,93,2060415,1005117
JAISALMER,2021,0,0,2,4,12,2,0,0,20,754792,347259
BARMER,2021,0,4,26,30,139,35,1,0,236,2933625,1391159
PALI,2021,0,2,8,20,112,32,0,0,174,2295717,1140382
SIROHI,2021,0,4,9,22,41,35,2,0,113,1167643,565729
KOTA ,2021,0,4,20,24,136,71,11,0,266,2198191,1047658
BUNDI,2021,0,0,4,8,69,31,4,0,116,1251649,601367
JHALAWAR,2021,1,2,27,9,68,37,16,2,162,1589907,772895
BARAN,2021,0,5,23,17,63,21,1,0,130,1377668,663407
UDAIPUR,2021,0,2,21,81,149,62,11,0,326,3457164,1691862
BANSWARA,2021,2,2,3,35,73,21,0,0,136,2025212,1002453
CHITTORGARH,2021,0,0,12,18,55,23,7,0,115,1739993,857601
DUNGARPUR,2021,0,0,21,22,43,14,1,0,101,1564470,779693
RAJSAMAND,2021,0,0,0,33,58,10,0,0,101,1303128,648138
PRATAPGARH,2021,0,0,15,28,129,42,4,0,218,977797,484595
AJMER,2022,0,0,0,0,135,64,7,0,206,2945227,1435489
BHILWARA,2022,0,0,0,0,215,80,6,0,301,2746227,1354329
NAGAUR,2022,0,0,0,0,110,41,7,0,158,3771529,1837358
TONK,2022,0,0,0,0,85,15,2,0,102,1620613,790384
JAIPUR ,2022,0,0,0,0,408,175,36,0,619,7555248,3600415
JHUNJHUNU,2022,0,0,0,0,70,15,3,0,88,2436685,1187131
SIKAR,2022,0,0,0,0,87,31,17,0,135,3052727,1484947
DAUSA,2022,0,0,0,0,106,35,5,0,146,1863573,885514
ALWAR,2022,0,0,0,0,163,83,7,0,253,4189343,1978442
BIKANER,2022,0,0,0,0,29,56,38,0,123,2695390,1280613
CHURU,2022,0,0,0,0,42,55,14,0,111,2325516,1126645
SRI GANGANAGAR,2022,0,0,0,0,126,46,1,0,173,2245269,1055640
HANUMANGARH,2022,0,0,0,0,91,37,2,0,130,2023525,961778
BHARATPUR,2022,0,0,0,0,206,77,5,0,288,2905787,1359972
SAWAIMADHOPUR,2022,0,0,0,0,47,39,18,0,104,1522811,720067
DHOLPUR,2022,0,0,0,0,63,44,3,0,110,1375684,630388
KARAULI,2022,0,0,0,0,70,31,10,0,111,1662712,769197
JODHPUR ,2022,0,0,0,0,168,40,5,0,213,4204150,2010464
JALORE,2022,0,0,0,0,70,1,5,0,76,2085140,1017179
JAISALMER,2022,0,0,0,0,20,9,0,0,29,763850,351426
BARMER,2022,0,0,0,0,135,37,0,0,172,2968828,1407853
PALI,2022,0,0,0,0,115,30,0,0,145,2323265,1154067
SIROHI,2022,0,0,0,0,75,13,1,0,89,1181654,572518
KOTA ,2022,0,0,0,0,147,75,6,0,228,2224570,1060230
BUNDI,2022,0,0,0,0,56,30,0,0,86,1266668,608584
JHALAWAR,2022,0,0,0,0,42,63,18,0,123,1608986,782170
BARAN,2022,0,0,0,0,54,18,1,0,73,1394200,671368
UDAIPUR,2022,0,0,0,0,168,104,11,0,283,3498650,1712164
BANSWARA,2022,0,0,0,0,124,21,3,0,148,2049514,1014482
CHITTORGARH,2022,0,0,0,0,59,15,31,0,105,1760873,867892
DUNGARPUR,2022,0,0,0,0,50,8,1,0,59,1583244,789050
RAJSAMAND,2022,0,0,0,0,64,15,0,0,79,1318766,655916
PRATAPGARH,2022,0,0,0,0,101,68,2,0,171,989531,490410
AJMER,2023,0,0,0,0,72,50,6,0,128,2980570,1452715
BHILWARA,2023,0,0,0,0,131,42,3,0,176,2779182,1370581
NAGAUR,2023,0,0,0,0,61,5,2,0,68,3816787,1859407
TONK,2023,0,0,0,0,65,36,5,0,106,1640060,799868
JAIPUR ,2023,0,0,0,0,407,151,16,0,574,7645911,3643620
JHUNJHUNU,2023,0,0,0,0,18,25,14,0,57,2465925,1201376
SIKAR,2023,0,0,0,0,56,35,13,0,104,3089360,1502767
DAUSA,2023,0,0,0,0,92,21,1,0,114,1885936,896140
ALWAR,2023,0,0,0,0,191,105,5,0,301,4239615,2002184
BIKANER,2023,0,0,0,0,35,75,40,0,150,2727734,1295981
CHURU,2023,0,0,0,0,55,34,0,0,89,2353422,1140164
